dataset,colonne,dtype,non_nuls,manquants,taux_remplissage,uniques
candidats_processed,candidat_id,str,1105,0,100.0,1105
candidats_processed,age,int64,1105,0,100.0,47
candidats_processed,genre,str,1105,0,100.0,2
candidats_processed,diplome_raw,str,1105,0,100.0,22
candidats_processed,ncf_niveau_final,Int64,1105,0,100.0,8
candidats_processed,ncf_code_niveau_etude,Int64,1105,0,100.0,7
candidats_processed,ncf_code_diplome,Int64,1037,68,93.85,8
candidats_processed,niveau_etude_raw,str,1105,0,100.0,7
candidats_processed,qualification_declaree,str,1105,0,100.0,295
candidats_processed,qualification_metier,str,1105,0,100.0,226
candidats_processed,secteur_metier,str,1105,0,100.0,23
candidats_processed,secteur_activite_cand,str,1105,0,100.0,44
candidats_processed,filiere_specialite,str,1105,0,100.0,139
candidats_processed,secteur_demande,str,93,1012,8.42,30
candidats_processed,metier_vise,str,1105,0,100.0,296
candidats_processed,objectif,str,1105,0,100.0,3
candidats_processed,mobilite_geo_bool,object,93,1012,8.42,2
candidats_processed,mobilite_geo_villes,object,1105,0,100.0,1
candidats_processed,mobilite_geo_raw,str,93,1012,8.42,2
candidats_processed,text_to_embed,str,1105,0,100.0,768
